is_internal	prereq	department	count	p	role	course	department	count	p	role	weight
external	CHEM31A	CHEM	2894.0	0.18319934164714818	0	CS106A	CS	7270.0	0.4602139646768374	0	0.24084312370421562	
internal	CS147	CS	870.0	0.05507374818003418	0	CS109	CS	2672.0	0.16914604038741532	0	0.24022988505747125	
external	PHYSICS22	PHYSICS	987.0	0.062480217762866365	0	<END>	special	15797.0	1.0	0	0.24012158054711247	
internal	ECON51	ECON	1273.0	0.08058492118756726	0	ECON102B	ECON	1039.0	0.06577198202190289	0	0.23959151610369206	
external	ME101	ME	1336.0	0.08457302019370766	0	ENGR14	ENGR	1453.0	0.09197948977653984	0	0.23877245508982037	
external	CHEM31B	CHEM	2540.0	0.16079002342216878	0	HUMBIO3B	HUMBIO	1353.0	0.0856491738937773	0	0.23858267716535433	
external	EARTHSYS10	EARTHSYS	966.0	0.06115085142748623	0	<END>	special	15797.0	1.0	0	0.23809523809523808	
external	CHEM31A	CHEM	2894.0	0.18319934164714818	0	HUMBIO2B	HUMBIO	1520.0	0.09622080141799076	0	0.2373876986869385	
internal	CS221	CS	1062.0	0.06722795467493828	0	CS124	CS	1046.0	0.06621510413369627	0	0.23728813559322035	
internal	CS221	CS	1062.0	0.06722795467493828	0	CS161	CS	1990.0	0.12597328606697475	0	0.23728813559322035	
internal	CHEM135	CHEM	981.0	0.06210039880990061	0	CHEM130	CHEM	1268.0	0.08026840539342914	0	0.23649337410805302	
external	ECON51	ECON	1273.0	0.08058492118756726	0	<END>	special	15797.0	1.0	0	0.2356637863315004	
internal	CS106B	CS	5006.0	0.31689561309109326	0	CS109	CS	2672.0	0.16914604038741532	0	0.23252097483020376	
external	BIO44X	BIO	1064.0	0.06735456099259353	0	<END>	special	15797.0	1.0	0	0.22838345864661655	
external	CHEM131	CHEM	1442.0	0.09128315502943597	0	PHYSICS23	PHYSICS	1204.0	0.0762170032284611	0	0.2274618585298197	
internal	CS1C	CS	1700.0	0.10761537000696335	0	CS106B	CS	5006.0	0.31689561309109326	0	0.22705882352941176	
external	BIO42	BIO	1196.0	0.0757105779578401	0	CHEM135	CHEM	981.0	0.06210039880990061	0	0.2265886287625418	
internal	MATH51	MATH	5086.0	0.3219598657973033	0	MATH53	MATH	1810.0	0.11457871747800215	0	0.22630751081399922	
external	CHEM135	CHEM	981.0	0.06210039880990061	0	<END>	special	15797.0	1.0	0	0.22629969418960244	
internal	CS109	CS	2672.0	0.16914604038741532	0	CS110	CS	1927.0	0.12198518706083433	0	0.2256736526946108	
external	UAR56	UAR	1593.0	0.10084193201240742	0	PSYC135	PSYC	2621.0	0.16591757928720643	0	0.2253609541745135	
external	SPANLANG2	SPANLANG	1101.0	0.06969677786921567	0	<END>	special	15797.0	1.0	0	0.22524977293369663	
external	MATH19	MATH	1481.0	0.09375197822371337	0	CHEM31B	CHEM	2540.0	0.16079002342216878	0	0.22484807562457798	
external	MS&E472	MS&E	2238.0	0.14167246945622586	0	<END>	special	15797.0	1.0	0	0.22475424486148346	
external	MATH20	MATH	1701.0	0.10767867316579097	0	CHEM33	CHEM	3118.0	0.1973792492245363	0	0.22457378012933568	
internal	CS109	CS	2672.0	0.16914604038741532	0	CS221	CS	1062.0	0.06722795467493828	0	0.22417664670658682	
external	ECON1A	ECON	1604.0	0.1015382667595113	0	CS106A	CS	7270.0	0.4602139646768374	0	0.2238154613466334	
external	ENGR14	ENGR	1453.0	0.09197948977653984	0	ME101	ME	1336.0	0.08457302019370766	0	0.2236751548520303	
